Coverage: 0,00%

LLVM-COV REPORT:
Filename                                                                  Regions    Missed Regions     Cover   Functions  Missed Functions  Executed       Lines      Missed Lines     Cover    Branches   Missed Branches     Cover
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Users/administrator/Desktop/qt/C++/lab_02_22/func_data/func_main.cpp           30                 0   100.00%           3                 0   100.00%          32                 0   100.00%           4                 0   100.00%
Users/administrator/Desktop/qt/C++/lab_02_22/func_data/test.cpp                13                 3    76.92%          11                 2    81.82%          16                 2    87.50%           4                 3    25.00%
Users/administrator/Desktop/qt/C++/lab_02_22/func_data/testparser.cpp          36                14    61.11%           6                 0   100.00%          64                 6    90.62%          16                 4    75.00%
Users/administrator/Desktop/qt/C++/lab_02_22/src/drawing.cpp                    8                 0   100.00%           5                 0   100.00%          27                 0   100.00%           2                 0   100.00%
Users/administrator/Desktop/qt/C++/lab_02_22/src/errors.cpp                    19                19     0.00%           1                 1     0.00%          30                30     0.00%          12                12     0.00%
Users/administrator/Desktop/qt/C++/lab_02_22/src/graphics.cpp                   6                 2    66.67%           3                 1    66.67%          15                 4    73.33%           2                 1    50.00%
Users/administrator/Desktop/qt/C++/lab_02_22/src/io.cpp                        42                 9    78.57%           7                 0   100.00%          59                12    79.66%          26                10    61.54%
Users/administrator/Desktop/qt/C++/lab_02_22/src/mainwindow.cpp                37                16    56.76%          11                 5    54.55%         103                40    61.17%          24                15    37.50%
Users/administrator/Desktop/qt/C++/lab_02_22/src/operations.cpp                33                 4    87.88%           9                 0   100.00%          59                 4    93.22%          16                 4    75.00%
Users/administrator/Desktop/qt/C++/lab_02_22/src/projection.cpp                24                 4    83.33%           9                 0   100.00%          65                 4    93.85%          12                 6    50.00%
Users/administrator/Desktop/qt/C++/lab_02_22/src/task_performer.cpp            10                 2    80.00%           1                 0   100.00%          30                 5    83.33%          16                 2    87.50%
Users/administrator/Desktop/qt/C++/lab_02_22/src/volumetric_point.cpp          37                 5    86.49%           6                 0   100.00%          55                 8    85.45%          20                 7    65.00%
opt/homebrew/lib/QtCore.framework/Headers/qalgorithms.h                        30                30     0.00%          30                30     0.00%         226               226     0.00%           0                 0         -
opt/homebrew/lib/QtCore.framework/Headers/qanystringview.h                     66                54    18.18%          43                39     9.30%          91                77    15.38%          12                12     0.00%
opt/homebrew/lib/QtCore.framework/Headers/qarraydata.h                         28                15    46.43%          11                 5    54.55%          86                51    40.70%          10                10     0.00%
opt/homebrew/lib/QtCore.framework/Headers/qarraydataops.h                     101                68    32.67%          13                 6    53.85%         165               108    34.55%          68                59    13.24%
opt/homebrew/lib/QtCore.framework/Headers/qarraydatapointer.h                 178               106    40.45%          36                12    66.67%         178                90    49.44%         118                87    26.27%
opt/homebrew/lib/QtCore.framework/Headers/qassert.h                             1                 1     0.00%           1                 1     0.00%           1                 1     0.00%           0                 0         -
opt/homebrew/lib/QtCore.framework/Headers/qatomic.h                             2                 0   100.00%           2                 0   100.00%           2                 0   100.00%           0                 0         -
opt/homebrew/lib/QtCore.framework/Headers/qatomic_cxx11.h                      10                 7    30.00%          10                 7    30.00%          22                13    40.91%           0                 0         -
opt/homebrew/lib/QtCore.framework/Headers/qbasicatomic.h                        7                 3    57.14%           7                 3    57.14%           7                 3    57.14%           0                 0         -
opt/homebrew/lib/QtCore.framework/Headers/qbindingstorage.h                     5                 5     0.00%           5                 5     0.00%          17                17     0.00%           0                 0         -
opt/homebrew/lib/QtCore.framework/Headers/qbytearray.h                        170               169     0.59%         170               169     0.59%         248               247     0.40%           0                 0         -
opt/homebrew/lib/QtCore.framework/Headers/qbytearrayalgorithms.h               13                 8    38.46%           7                 6    14.29%          37                32    13.51%           4                 2    50.00%
opt/homebrew/lib/QtCore.framework/Headers/qbytearraylist.h                      2                 2     0.00%           2                 2     0.00%           4                 4     0.00%           0                 0         -
opt/homebrew/lib/QtCore.framework/Headers/qbytearrayview.h                     76                72     5.26%          76                72     5.26%         107               101     5.61%           0                 0         -
opt/homebrew/lib/QtCore.framework/Headers/qcalendar.h                           9                 9     0.00%           9                 9     0.00%           9                 9     0.00%           0                 0         -
opt/homebrew/lib/QtCore.framework/Headers/qcborcommon.h                         7                 7     0.00%           7                 7     0.00%          11                11     0.00%           0                 0         -
opt/homebrew/lib/QtCore.framework/Headers/qcborvalue.h                        142               142     0.00%         142               142     0.00%         172               172     0.00%           0                 0         -
opt/homebrew/lib/QtCore.framework/Headers/qchar.h                             108               108     0.00%         108               108     0.00%         141               141     0.00%           0                 0         -
opt/homebrew/lib/QtCore.framework/Headers/qcompare.h                          111               111     0.00%         111               111     0.00%         134               134     0.00%           0                 0         -
opt/homebrew/lib/QtCore.framework/Headers/qcompare_impl.h                       1                 1     0.00%           1                 1     0.00%           1                 1     0.00%           0                 0         -
opt/homebrew/lib/QtCore.framework/Headers/qcomparehelpers.h                     2                 2     0.00%           2                 2     0.00%          32                32     0.00%           0                 0         -
opt/homebrew/lib/QtCore.framework/Headers/qcontainertools_impl.h               45                45     0.00%           8                 8     0.00%          86                86     0.00%          30                30     0.00%
opt/homebrew/lib/QtCore.framework/Headers/qcoreapplication.h                    1                 1     0.00%           1                 1     0.00%           1                 1     0.00%           0                 0         -
opt/homebrew/lib/QtCore.framework/Headers/qcoreevent.h                         19                19     0.00%          19                19     0.00%          19                19     0.00%           0                 0         -
opt/homebrew/lib/QtCore.framework/Headers/qdatastream.h                        22                22     0.00%          22                22     0.00%          59                59     0.00%           0                 0         -
opt/homebrew/lib/QtCore.framework/Headers/qdatetime.h                          54                54     0.00%          54                54     0.00%          74                74     0.00%           0                 0         -
