Coverage: 6.40%

LLVM-COV REPORT:
Filename                                                                   Regions    Missed Regions     Cover   Functions  Missed Functions  Executed       Lines      Missed Lines     Cover    Branches   Missed Branches     Cover
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Users/administrator/Desktop/qt/C++/lab_03_00/func_data/func_main.cpp            30                 0   100.00%           3                 0   100.00%          32                 0   100.00%           4                 0   100.00%
Users/administrator/Desktop/qt/C++/lab_03_00/func_data/test.cpp                 12                 4    66.67%          10                 3    70.00%          14                 3    78.57%           4                 3    25.00%
Users/administrator/Desktop/qt/C++/lab_03_00/func_data/testparser.cpp           28                15    46.43%           5                 0   100.00%          49                 7    85.71%          10                 4    60.00%
Users/administrator/Desktop/qt/C++/lab_03_00/src/algorithms.cpp                142               141     0.70%          13                12     7.69%         314               310     1.27%         110               110     0.00%
Users/administrator/Desktop/qt/C++/lab_03_00/src/buttons.cpp                     7                 7     0.00%           7                 7     0.00%          21                21     0.00%           0                 0         -
Users/administrator/Desktop/qt/C++/lab_03_00/src/mainwindow.cpp                114                96    15.79%          22                15    31.82%         305               226    25.90%          78                67    14.10%
Users/administrator/Desktop/qt/C++/lab_03_00/src/measurement_funcs.cpp          62                62     0.00%           4                 4     0.00%         144               144     0.00%          48                48     0.00%
Users/administrator/Desktop/qt/C++/lab_03_00/src/menu.cpp                        8                 8     0.00%           5                 5     0.00%          22                22     0.00%           2                 2     0.00%
opt/homebrew/lib/QtCore.framework/Headers/qabstractitemmodel.h                  49                49     0.00%          49                49     0.00%          75                75     0.00%           0                 0         -
opt/homebrew/lib/QtCore.framework/Headers/qalgorithms.h                         33                33     0.00%          30                30     0.00%         220               220     0.00%           2                 2     0.00%
opt/homebrew/lib/QtCore.framework/Headers/qanystringview.h                      66                54    18.18%          43                39     9.30%          91                77    15.38%          12                12     0.00%
opt/homebrew/lib/QtCore.framework/Headers/qarraydata.h                          28                15    46.43%          11                 5    54.55%          86                51    40.70%          10                10     0.00%
opt/homebrew/lib/QtCore.framework/Headers/qarraydataops.h                      101                68    32.67%          13                 6    53.85%         165               108    34.55%          68                59    13.24%
opt/homebrew/lib/QtCore.framework/Headers/qarraydatapointer.h                  181               109    39.78%          36                12    66.67%         178                90    49.44%         120                89    25.83%
opt/homebrew/lib/QtCore.framework/Headers/qassert.h                              1                 1     0.00%           1                 1     0.00%           1                 1     0.00%           0                 0         -
opt/homebrew/lib/QtCore.framework/Headers/qatomic.h                              2                 0   100.00%           2                 0   100.00%           2                 0   100.00%           0                 0         -
opt/homebrew/lib/QtCore.framework/Headers/qatomic_cxx11.h                       10                 7    30.00%          10                 7    30.00%          22                13    40.91%           0                 0         -
opt/homebrew/lib/QtCore.framework/Headers/qbasicatomic.h                         7                 3    57.14%           7                 3    57.14%           7                 3    57.14%           0                 0         -
opt/homebrew/lib/QtCore.framework/Headers/qbasictimer.h                          9                 9     0.00%           9                 9     0.00%          13                13     0.00%           0                 0         -
opt/homebrew/lib/QtCore.framework/Headers/qbindingstorage.h                      5                 5     0.00%           5                 5     0.00%          17                17     0.00%           0                 0         -
opt/homebrew/lib/QtCore.framework/Headers/qbytearray.h                         183               182     0.55%         171               170     0.58%         246               245     0.41%          10                10     0.00%
opt/homebrew/lib/QtCore.framework/Headers/qbytearrayalgorithms.h                16                11    31.25%           7                 6    14.29%          32                27    15.62%           6                 4    33.33%
opt/homebrew/lib/QtCore.framework/Headers/qbytearraylist.h                       2                 2     0.00%           2                 2     0.00%           4                 4     0.00%           0                 0         -
