Coverage: 9.14%

LLVM-COV REPORT:
Filename                                                                  Regions    Missed Regions     Cover   Functions  Missed Functions  Executed       Lines      Missed Lines     Cover    Branches   Missed Branches     Cover
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Users/administrator/Desktop/qt/C++/lab_10_00/func_data/func_main.cpp           30                 0   100.00%           3                 0   100.00%          32                 0   100.00%           4                 0   100.00%
Users/administrator/Desktop/qt/C++/lab_10_00/func_data/test.cpp                15                 3    80.00%          13                 2    84.62%          17                 2    88.24%           4                 3    25.00%
Users/administrator/Desktop/qt/C++/lab_10_00/func_data/testparser.cpp          24                14    41.67%           3                 0   100.00%          48                 6    87.50%           8                 3    62.50%
Users/administrator/Desktop/qt/C++/lab_10_00/inc/horizon.h                      3                 0   100.00%           3                 0   100.00%           3                 0   100.00%           0                 0         -
Users/administrator/Desktop/qt/C++/lab_10_00/src/functions.cpp                  4                 0   100.00%           4                 0   100.00%          12                 0   100.00%           0                 0         -
Users/administrator/Desktop/qt/C++/lab_10_00/src/horizon.cpp                   59                 1    98.31%          10                 0   100.00%         106                 2    98.11%          38                 1    97.37%
Users/administrator/Desktop/qt/C++/lab_10_00/src/mainwindow.cpp                46                35    23.91%          17                11    35.29%         140                86    38.57%          18                14    22.22%
opt/homebrew/lib/QtCore.framework/Headers/qabstractitemmodel.h                 49                49     0.00%          49                49     0.00%          75                75     0.00%           0                 0         -
opt/homebrew/lib/QtCore.framework/Headers/qalgorithms.h                        33                33     0.00%          30                30     0.00%         220               220     0.00%           2                 2     0.00%
opt/homebrew/lib/QtCore.framework/Headers/qanystringview.h                     66                54    18.18%          43                39     9.30%          91                77    15.38%          12                12     0.00%
opt/homebrew/lib/QtCore.framework/Headers/qarraydata.h                         28                10    64.29%          11                 3    72.73%          86                41    52.33%          10                 8    20.00%
opt/homebrew/lib/QtCore.framework/Headers/qarraydataops.h                     166                78    53.01%          18                 6    66.67%         223               108    51.57%         114                85    25.44%
opt/homebrew/lib/QtCore.framework/Headers/qarraydatapointer.h                 187                65    65.24%          36                11    69.44%         178                58    67.42%         126                72    42.86%
opt/homebrew/lib/QtCore.framework/Headers/qassert.h                             1                 1     0.00%           1                 1     0.00%           1                 1     0.00%           0                 0         -
opt/homebrew/lib/QtCore.framework/Headers/qatomic.h                             2                 0   100.00%           2                 0   100.00%           2                 0   100.00%           0                 0         -
opt/homebrew/lib/QtCore.framework/Headers/qatomic_cxx11.h                      10                 7    30.00%          10                 7    30.00%          22                13    40.91%           0                 0         -
opt/homebrew/lib/QtCore.framework/Headers/qbasicatomic.h                        7                 3    57.14%           7                 3    57.14%           7                 3    57.14%           0                 0         -
opt/homebrew/lib/QtCore.framework/Headers/qbindingstorage.h                     5                 5     0.00%           5                 5     0.00%          17                17     0.00%           0                 0         -
opt/homebrew/lib/QtCore.framework/Headers/qbytearray.h                        170               169     0.59%         170               169     0.59%         248               247     0.40%           0                 0         -
opt/homebrew/lib/QtCore.framework/Headers/qbytearrayalgorithms.h               13                 8    38.46%           7                 6    14.29%          37                32    13.51%           4                 2    50.00%
opt/homebrew/lib/QtCore.framework/Headers/qbytearraylist.h                      2                 2     0.00%           2                 2     0.00%           4                 4     0.00%           0                 0         -
opt/homebrew/lib/QtCore.framework/Headers/qbytearrayview.h                     80                72    10.00%          77                71     7.79%         108                96    11.11%           2                 1    50.00%
opt/homebrew/lib/QtCore.framework/Headers/qcalendar.h                           9                 9     0.00%           9                 9     0.00%           9                 9     0.00%           0                 0         -
opt/homebrew/lib/QtCore.framework/Headers/qcborcommon.h                         7                 7     0.00%           7                 7     0.00%          11                11     0.00%           0                 0         -
opt/homebrew/lib/QtCore.framework/Headers/qcborvalue.h                        142               142     0.00%         142               142     0.00%         172               172     0.00%           0                 0         -
opt/homebrew/lib/QtCore.framework/Headers/qchar.h                             108               107     0.93%         108               107     0.93%         141               140     0.71%           0                 0         -
opt/homebrew/lib/QtCore.framework/Headers/qcompare.h                          111               111     0.00%         111               111     0.00%         134               134     0.00%           0                 0         -
opt/homebrew/lib/QtCore.framework/Headers/qcompare_impl.h                       1                 1     0.00%           1                 1     0.00%           1                 1     0.00%           0                 0         -
opt/homebrew/lib/QtCore.framework/Headers/qcomparehelpers.h                     2                 2     0.00%           2                 2     0.00%          32                32     0.00%           0                 0         -
opt/homebrew/lib/QtCore.framework/Headers/qcontainertools_impl.h               45                45     0.00%           8                 8     0.00%          86                86     0.00%          30                30     0.00%
opt/homebrew/lib/QtCore.framework/Headers/qcoreapplication.h                    1                 1     0.00%           1                 1     0.00%           1                 1     0.00%           0                 0         -
